// Format: letter #|letter from passage|predicted letters|scan time
1|w|othim|5
2|a|eho!"|5
3|s|l!"#$|6
4| |cl!"#|3
5|v|o!"#$|9
6|e|m!"#$|6
7|r|e!"#$|7
8|y|!"#$%|9
9| |b!"#$|3
10|s|a!"#$|6
11|m|c!"#$|12
12|a|k!"#$|5
13|l|!"#$%|13
14|l|athbf|13
15|,|o!"#$|5
16| |!"#$%|3
17|a|tflov|5
18|n|u!"#$|11
19|d|r!"#$|7
20| |!"#$%|3
21|I|s!"#$|11
22| |h!"#$|3
23|l|o!"#$|13
24|i|w!"#$|11
25|v|!"#$%|9
26|e|!"#$%|6
27|d|!"#$%|7
28| |!"#$%|3
29|o|.!"#$|12
30|n|!"#$%|11
31| |!"#$%|3
32|a|h!"#$|5
33| |i!"#$|3
34|s|s!"#$|2
35|t|!"#$%|8
36|r|i!"#$|7
37|e|s!"#$|6
38|e|!"#$%|6
39|t|tsahi|2
40| |yaeo!|3
41|c|jr!"#|8
42|a|i!"#$|5
43|l|a!"#$|13
44|l|,!"#$|13
45|e|!"#$%|6
46|d|a!"#$|7
47| |n!"#$|3
48|F|d!"#$|8
49|a|!"#$%|5
50|y|!"#$%|9
51|e|!"#$%|6
52|t|dn!"#|8
53|t|o!"#$|8
54|e|nv!"#|6
55| |'!"#$|3
56|S|t!"#$|6
57|t|,.!"#|8
58|.|ktreh|4
59|,|n!"#$|5
60| |o!"#$|3
61|a|w!"#$|5
62|n|,.;!"|11
63|d|wihta|7
64| |oe!"#|3
65|i|u!"#$|11
66|t|r!"#$|8
67| |!"#$%|3
68|h|bdegl|10
69|a|a!"#$|2
70|d|s!"#$|7
71| |t!"#$|3
72|a|!"#$%|5
73| |n!"#$|3
74|w|a!"#$|5
75|o|m!"#$|12
76|n|e!"#$|11
77|d|,.?!"|7
78|e|!"#$%|6
79|r|!"#$%|7
80|f|o!"#$|8
81|u|l!"#$|10
82|l|k!"#$|13
83| |.!"#$|3
84|m|!"#$%|12
85|a|!"#$%|5
86|p|h!"#$|13
87|l|!"#$%|13
88|e|t!"#$|6
89| |h!"#$|3
90|t|a!"#$|8
91|r|t!"#$|7
92|e|'!"#$|6
93|e|s!"#$|6
94| |!"#$%|3
95|i|ng!"#|11
96|n|o!"#$|11
97| |oit!"|3
98|t|d!"#$|8
99|h|.,!"#|10
100|e|"!#$%|6
101| |!"#$%|3
102|f|r!"#$|8
103|r|o!"#$|7
104|o|m!"#$|12
105|n|!"#$%|11
106|t|!"#$%|8
107| |o!"#$|3
108|a|l!"#$|5
109|n|k!"#$|11
110|d|t!"#$|7
111| |o!"#$|3
112|I|n!"#$|11
113| |,!"#$|3
114|l|!"#$%|13
115|i|!"#$%|11
116|k|a!"#$|12
117|e|r!"#$|6
118|d|i!"#$|7
119| |a!"#$|3
120|t|!"#$%|8
121|o|!"#$%|12
122| |o!"#$|3
123|c|l!"#$|8
124|l|k!"#$|13
125|i|.!"#$|11
126|m|!"#$%|12
127|b|!"#$%|10
128| |!"#$%|3
129|i|.!"#$|11
130|t|!"#$%|8
131|,|!"#$%|5
132| |n!"#$|3
133|I|d!"#$|11
134| |!"#$%|3
135|w|swdhi|3
136|a|h!"#$|5
137|s|ei!"#|6
138| |r!"#$|3
139|a|e!"#$|5
140| |,v?!"|3
141|t|yahtd|5
142|o|i!"#$|12
143|m|d!"#$|12
144|b|!"#$%|10
145|o|yst!"|12
146|y|o!"#$|9
147|.|u!"#$|4
148| |,!"#$|3
149|S|gdhrs|6
150|o|oeru!|2
151| |o!"#$|3
152|o|w!"#$|12
153|n|!"#$%|11
154|e|u!"#$|6
155| |p!"#$|3
156|o|?!"#$|12
157|f|!"#$%|8
158| |!"#$%|3
159|m|e!"#$|12
160|y|r!"#$|9
161| |e!"#$|3
162|f|!"#$%|8
163|a|y!"#$|5
164|v|o!"#$|9
165|o|u!"#$|12
166|r|!"#$%|7
167|i|wbgic|5
168|t|o!"#$|8
169|e|r!"#$|6
170| |n!"#$|3
171|t|?!"#$|8
172|h|i!"#$|10
173|i|n!"#$|11
174|n|!"#$%|11
175|g|t!"#$|9
176|s|ha!"#|6
177| |ei!"#|3
178|d|s!"#$|7
179|o|!"#$%|12
180| |at!"#|3
181|t|r!"#$|8
182|o|e!"#$|12
183| |a!"#$|3
184|w|.,?!"|5
185|a|ah!"#|2
186|s|e!"#$|6
187|,|r!"#$|5
188| |e!"#$|3
189|y|?!"#$|9
190|o|!"#$%|12
191|u|!"#$%|10
192| |!"#$%|3
193|k|w!"#$|12
194|n|a!"#$|11
195|o|s!"#$|12
196|w|!"#$%|5
197|,|b!"#$|5
198| |o!"#$|3
199|r|r!"#$|2
200|o|n!"#$|12
201|l|.,!"#|13
202|l|iah1m|13
203|e|n!"#$|6
204|r|!"#$%|7
205|-|1t!"#|10
206|s|ho!"#|6
207|k|tu!"#|12
208|a|t!"#$|5
209|t|o!"#$|8
210|e|n!"#$|6
211| |v!"#$|3
212|a|i!"#$|5
213|n|l!"#$|11
214|d|l!"#$|7
215| |e!"#$|3
216|c|.!"#$|8
217|l|!"#$%|13
218|i|!"#$%|11
219|m|i!"#$|12
220|b|g!"#$|10
221| |h!"#$|3
222|t|t!"#$|2
223|r|!"#$%|7
224|e|o!"#$|6
225|e|u!"#$|6
226|s|t!"#$|6
227|.|s!"#$|4
228| |i!"#$|3
229|I|d!"#$|11
230| |e!"#$|3
231|h|!"#$%|10
232|a|oft!"|5
233|d|fnu!"|7
234| |,!"#$|3
235|a|ti!"#|5
236| |o!"#$|3
237|l|r!"#$|13
238|i|w!"#$|11
239|t|o!"#$|8
240|t|o!"#$|8
241|l|d!"#$|13
242|e|!"#$%|6
243|,|i!"#$|5
244| |n!"#$|3
245|I|!"#$%|11
246| |!"#$%|3
247|h|t!"#$|10
248|a|a!"#$|2
249|v|n!"#$|9
250|e|l!"#$|6
251| |e!"#$|3
252|t|y!"#$|8
253|h|!"#$%|10
254|r|!"#$%|7
255|e|o!"#$|6
256|e|u!"#$|6
257| |n!"#$|3
258|b|t!"#$|10
259|r|y!"#$|7
260|o|.!"#$|12
261|t|!"#$%|8
262|h|!"#$%|10
263|e|h!"#$|6
264|r|,!"#$|7
265|s|!"#$%|6
266|,|!"#$%|5
267| |!"#$%|3
268|a|.!"#$|5
269|t|!"#$%|8
270| |!"#$%|3
271|t|he!"#|8
272|h|ae!"#|10
273|e|n!"#$|6
274| |!"#$%|3
275|t|y!"#$|8
276|i|o!"#$|11
277|m|u!"#$|12
278|e|!"#$%|6
279| |wghsa|3
280|w|ea!"#|5
281|h|rn!"#|10
282|e|e!"#$|2
283|n|n!"#$|2
284| |aglty|3
285|I|io!"#|2
286| |t!"#$|3
287|w|t!"#$|5
288|a|l!"#$|5
289|s|e!"#$|6
290| |?.,!"|3
291|s|!"#$%|6
292|m|sudw!|12
293|a|i!"#$|5
294|l|d!"#$|13
295|l|!"#$%|13
296|e|y!"#$|6
297|r|o!"#$|7
298| |u!"#$|3
299|I|?r!"#|11
300| |!"#$%|3
301|o|dpmfj|12
302|n|o!"#$|11
303|l|m!"#$|13
304|y|,!"#$|9
305| |awrtd|3
306|h|e!"#$|10
307|a|a!"#$|2
308|d|d!"#$|2
309| |!"#$%|3
310|t|ty!"#|2
311|w|o!"#$|5
312|o|u!"#$|12
313| |!"#$%|3
314|b|bst!"|2
315|e|o!"#$|6
316|c|o!"#$|8
317|a|k!"#$|5
318|u|s!"#$|10
319|s|,!"#$|6
320|e|!"#$%|6
321| |o!"#$|3
322|m|r!"#$|12
323|y|!"#$%|9
324| |d!"#$|3
325|y|i!"#$|9
326|o|d!"#$|12
327|u|!"#$%|10
328|n|s!"#$|11
329|g|o!"#$|9
330|e|m!"#$|6
331|s|e!"#$|6
332|t|b!"#$|8
333| |o!"#$|3
334|b|d!"#$|10
335|r|y!"#$|7
336|o|!"#$%|12
337|t|wetra|4
338|h|ei!"#|10
339|e|a!"#$|6
340|r|d!"#$|7
341| |i!"#$|3
342|J|ity!"|11
343|i|o!"#$|11
344|m|u!"#$|12
345|m|!"#$%|12
346|y|bst!"|9
347| |o!"#$|3
348|h|o!"#$|10
349|a|k!"#$|5
350|d|s!"#$|7
351|n|,!"#$|11
352|'|bi!"#|10
353|t|n!"#$|8
354| |!"#$%|3
355|b|ty!"#|10
356|e|o!"#$|6
357|e|u!"#$|6
358|n|r!"#$|11
359| |!"#$%|3
360|b|hpbmn|4
361|o|iaeo!|5
362|r|u!"#$|7
363|n|s!"#$|11
364| |e!"#$|3
365|y|?,s!"|9
366|e|!"#$%|6
367|t|!"#$%|8
368|.|y!"#$|4
369| |!"#$%|3
370|S|m!"#$|6
371|o|a!"#$|12
372| |m!"#$|3
373|m|a!"#$|12
374|y|!"#$%|9
375| |r!"#$|3
376|y|e!"#$|9
377|o|a!"#$|12
378|u|d!"#$|10
379|n|!"#$%|11
380|g|t!"#$|9
381|e|o!"#$|6
382|r|!"#$%|7
383| |m!"#$|3
384|b|ey!"#|10
385|r|,.!"#|7
386|o|abti!|12
387|t|n!"#$|8
388|h|d!"#$|10
389|e|!"#$%|6
390|r|aelmo|7
391| |y!"#$|3
392|J|!"#$%|11
393|i|bfmsc|11
394|m|io!"#|12
395|m|s!"#$|12
396|y|t!"#$|9
397| |e!"#$|3
398|a|r!"#$|5
399|n|s',.!|11
400|d|!"#$%|7
401| |!"#$%|3
402|I|h!"#$|11
403|,|-!"#$|5
404| |h!"#$|3
405|a|u!"#$|5
406|n|h!"#$|11
407|d|.!"#$|7
408| |!"#$%|3
409|t|"!#$%|8
410|h|heai!|2
411|e|aei!"|3
412| |t!"#$|3
413|n|,!"#$|11
414|e|kdi!"|6
415|x|i!"#$|7
416|t|n!"#$|8
417| |d!"#$|3
418|d|s?,!"|7
419|o|o!"#$|2
420|o|f!"#$|12
421|r|,!"#$|7
422| |stlbp|3
423|n|oelar|11
424|e|ort!"|6
425|i|k!"#$|11
426|g|s!"#$|9
427|h|!"#$%|10
428|b|aotdb|6
429|o|e!"#$|12
430|r|r!"#$|2
431|s|e!"#$|6
432| |,!"#$|3
433|w|ay!"#|5
434|o|o!"#$|2
435|u|u!"#$|2
436|l|r!"#$|13
437|d|!"#$%|7
438| |fl!"#|3
439|p|a!"#$|13
440|l|v!"#$|13
441|a|o!"#$|5
442|y|r!"#$|9
443|,|i!"#$|5
444| |t!"#$|3
445|a|e!"#$|5
446|n|?s!"#|11
447|d|,.?!"|7
448| |!"#$%|3
449|I|!"#$%|11
450| |o!"#$|3
451|g|!"#$%|9
452|u|y!"#$|10
453|e|o!"#$|6
454|s|u!"#$|6
455|s|!"#$%|6
456|,|rht!"|5
457| |e!"#$|3
458|r|mac!"|7
459|e|e!"#$|2
460|a|m!"#$|5
461|l|b-!"#|13
462|l|e!"#$|13
463|y|r!"#$|9
464| |?e,!"|3
465|B|atwhr|10
466|u|nbslt|10
467|c|ydo!"|8
468|k|to,b!|12
469|h|sopfa|10
470|a|h!"#$|5
471|n|a!"#$|11
472|n|t!"#$|11
473|o|!"#$%|12
474|n|wy!"#|11
475| |e!"#$|3
476|w|r!"#$|5
477|a|e!"#$|5
478|s|n,!"#|6
479| |rbtag|3
480|l|ay!"#|13
481|i|y!"#$|11
482|k|b!"#$|12
483|e|e!"#$|2
484| |!"#$%|3
485|a|a!"#$|2
486| |!"#$%|3
487|v|lr!"#|9
488|e|e!"#$|2
489|r|ad!"#|7
490|y|l!"#$|9
491| |!"#$%|3
492|w|bf!"#|5
493|o|a!"#$|12
494|n|v!"#$|11
495|d|o!"#$|7
496|e|r!"#$|6
497|r|i!"#$|7
498|f|t!"#$|8
499|u|e!"#$|10
500|l|!"#$%|13
501| |sbptm|3
502|t|nf!"#|8
503|o|!"#$%|12
504|w|y!"#$|5
505|n|o!"#$|11
506| |u!"#$|3
507|t|r!"#$|8
508|o|s!"#$|12
509| |?!"#$|3
510|g|!"#$%|9
511|r|!"#$%|7
512|o|m!"#$|12
513|w|,!"#$|5
514| |!"#$%|3
515|u|!"#$%|10
516|p|!"#$%|13
517| |k!"#$|3
518|i|i!"#$|2
519|n|n!"#$|2
520| |d!"#$|3
521|b|!"#$%|10
522|e|o!"#$|6
523|c|f!"#$|8
524|a|!"#$%|5
525|u|dcgij|10
526|s|ioeu!|6
527|e|kt!"#|6
528| |e!"#$|3
529|t|,d!"#|8
530|h|!"#$%|10
531|e|t!"#$|6
532|r|h!"#$|7
533|e|e!"#$|2
534| |mn!"#|3
535|w|,!"#$|5
536|a|a!"#$|2
537|s|l!"#$|6
538|n|l!"#$|11
539|'|.!"#$|10
540|t|!"#$%|8
541| |!"#$%|3
542|a|m!"#$|5
543| |,!"#$|3
544|l|!"#$%|13
545|o|a!"#$|12
546|t|!"#$%|8
547| |d!"#$|3
548|o|i!"#$|12
549|f|d!"#$|8
550| |n!"#$|3
551|c|'!"#$|8
552|r|t!"#$|7
553|i|,!"#$|11
554|m|khrws|12
555|e|e!"#$|2
556| |amc!"|3
557|i|ld!"#|11
558|t|li!"#|8
559| |y!"#$|3
560|w|,!"#$|5
561|a|hktar|5
562|s|aei!"|6
563| |rvdp!|3
564|j|e!"#$|11
565|u|!"#$%|10
566|s|amt!"|6
567|t|n!"#$|8
568| |fl!"#|3
569|v|a!"#$|9
570|e|vimt!|6
571|r|o!"#$|7
572|y|r!"#$|9
573| |i!"#$|3
574|s|t!"#$|6
575|a|e!"#$|5
576|f|?.;!"|8
577|e|!"#$%|6
578|,|!"#$%|5
579| |o!"#$|3
580|a|?!"#$|5
581| |!"#$%|3
582|v|!"#$%|9
583|e|n!"#$|6
